id_transacao,localizacao,dispositivo,valor,score_risco,fraude_real,fraude_predita
93,Curitiba,Mobile,5721.57,0.05,0,0
518,Londres,Mobile,6654.59,0.27,0,0
351,Curitiba,Mobile,2797.76,0.03,0,0
879,Tóquio,Mobile,1133.656693229251,0.36,0,0
784,São Paulo,Desktop,1696.73,0.13,0,0
261,Nova York,Mobile,3818.12,0.22,0,0
59,Rio de Janeiro,Desktop,185.13,0.1,0,0
215,Nova York,Desktop,4981.67,0.46,0,0
115,Nova York,Tablet,4013.98,0.33,0,0
447,São Paulo,Mobile,17075.1,0.27,0,1
614,São Paulo,Mobile,341.18,0.07,0,0
554,Tóquio,Mobile,3292.46,0.36,0,0
277,Londres,Desktop,6403.8,0.41,0,0
155,Curitiba,Mobile,16976.15,0.24,0,1
38,São Paulo,Mobile,411.11,0.19,0,0
436,Rio de Janeiro,Mobile,4828.83,0.12,0,0
861,Rio de Janeiro,Desktop,5976.01,0.18,0,0
764,Rio de Janeiro,Desktop,5449.47,0.28,0,0
181,São Paulo,Mobile,1668.53,0.14,0,0
287,São Paulo,Mobile,2506.43,0.14,0,0
783,Londres,Mobile,1160.33,0.39,0,0
36,Curitiba,Mobile,6609.33,0.1,0,0
862,São Paulo,Desktop,2415.34,0.19,0,0
897,Tóquio,Tablet,1387.73,0.21,0,0
324,Tóquio,Mobile,1313.65,0.26,0,0
675,Rio de Janeiro,Desktop,2113.22,0.19,0,0
873,Nova York,Desktop,4131.29,0.37,0,0
23,Rio de Janeiro,Tablet,1382.06,0.06,0,0
3,Curitiba,Mobile,5266.98,0.03,0,1
754,Tóquio,Mobile,1631.31,0.21,0,0
24,Tóquio,Desktop,1825.11,0.37,0,0
188,Curitiba,Mobile,3240.53,0.07,0,0
226,Nova York,Mobile,1118.8,0.21,0,0
232,Tóquio,Mobile,2793.74,0.28,0,0
65,Rio de Janeiro,Mobile,1319.21,0.01,0,1
837,Tóquio,Mobile,9853.17,0.49,1,0
996,São Paulo,Desktop,384.2,0.15,0,0
732,Nova York,Mobile,6740.41,0.38,0,0
851,Londres,Desktop,2409.734891261467,0.32,0,0
865,São Paulo,Mobile,2048.39,0.18,0,0
499,Tóquio,Mobile,14659.84,0.53,1,1
452,Tóquio,Mobile,3269.44,0.33,0,0
391,Nova York,Mobile,18628.02,0.56,1,1
649,Tóquio,Desktop,6226.84,0.4,0,0
547,Nova York,Tablet,482.16,0.38,0,0
896,Londres,Mobile,917.57,0.36,0,0
521,Londres,Mobile,3606.9,0.3,0,0
562,Tóquio,Desktop,957.93,0.37,0,0
768,Rio de Janeiro,Mobile,8374.67,0.31,0,0
638,São Paulo,Mobile,1110.77,0.11,0,0
809,São Paulo,Mobile,2397.46,0.02,0,0
